Date,Factor1,Factor2,Factor3,Factor4
2008-01-02,-0.21848432953547778,-0.22480203722226805,0.19044388416256963,-0.381663413903795
2008-01-03,-0.16053042551663999,-0.18929687772341589,0.23231739523246495,-0.30022116613247474
2008-01-04,-0.2599210392505671,-0.40152560853528596,0.19595926117562987,-0.2717242703772006
2008-01-07,-0.22530941085354428,-0.3669208334004003,0.11741886010409824,-0.25438348498984087
2008-01-08,-0.2868004360789627,-0.4825010485347869,0.1142236594128838,-0.2555325335011516
2008-01-09,-0.18907780997808815,-0.3441042231370074,0.043489315268198735,-0.1959064275021234
2008-01-10,-0.1550442729961989,-0.19481115803929117,-0.2496748096926538,-0.12530356952107832
2008-01-11,-0.09426826515357202,0.21462404184595316,-0.28850836256611745,-0.21737178421118608
2008-01-14,0.007074894634236152,0.16861497257713978,-0.22329970830104579,-0.23567122212537772
2008-01-15,-0.08821675995833199,0.1385434775505194,-0.2286421953813127,-0.2924169008258012
2008-01-16,-0.1858290895405552,-0.3910722094111078,-0.3147480036874486,-0.2502029828425156
2008-01-17,-0.3126765218501616,-0.6353620999556044,-0.24086510594676502,-0.3611351767928131
2008-01-18,-0.2897020681662563,-0.6560119057232291,-0.1950119920129744,-0.37231738609831055
2008-01-21,-0.32199848331474334,-0.6758456276607059,-0.23792808666678197,-0.37903970695439204
2008-01-22,-0.2794845408353463,-0.41051945352274055,-0.2841123720605265,-0.6226049300428227
2008-01-23,-0.1845659262981982,0.14106144528761694,-0.1657354509400473,-0.664867018790561
2008-01-24,0.13312502595688447,0.5950071953222352,-0.16167258180603214,-0.45167237969383994
2008-01-25,0.06806032419336139,0.5537382300053436,0.11700879035468766,-0.39967231764646727
2008-01-28,0.16952522195211592,0.6284554000896193,0.17486056936300837,-0.4052304175754074
2008-01-29,0.23990300102473275,0.5258142298292364,0.28852339631342905,0.24746169859683617
2008-01-30,0.12640987666624495,0.3571710791719968,0.2715861839637509,0.32475647485973036
2008-01-31,0.1599143458842269,0.2861143083131431,0.24679398975709158,-0.3607652016999027
2008-02-01,0.2717759424426263,0.32821402574053005,0.09246475396167982,-0.29030575823257665
2008-02-04,0.16107912217872908,0.22816500508942622,-0.08158493564220654,-0.14692511619481655
2008-02-05,-0.1564341309184302,-0.35763689315392333,-0.18302162042574613,-0.32704327012036966
2008-02-06,-0.1692804241816382,-0.4277840323520776,-0.2569517166226919,-0.3500803651457662
2008-02-07,-0.2049157619557251,-0.517436538050616,-0.23226415288211755,0.1955245409865601
2008-02-08,-0.2624465602200692,-0.45487500022935884,-0.14274710640673552,0.09583346589139559
2008-02-11,-0.20486253914621913,-0.4258014217379673,0.19972878457879362,-0.17066826632088722
2008-02-12,0.10484142584716306,-0.0883268022942307,0.24901345600475472,0.2025197761546058
2008-02-13,0.20696874014004404,0.2795847051314108,0.2987827164981449,0.2087800830018759
2008-02-14,0.10356217884922621,0.28894355622802437,0.3421878225262799,0.17562411136050043
2008-02-15,0.1327618732956935,0.14849666919524476,0.3188971008688072,0.14858058993949508
2008-02-18,0.09822962173801836,0.10241248703707405,0.1825414821477916,0.11208777920977112
2008-02-19,-0.00776056877762873,-0.08864531841358411,0.2128485430712654,0.23289897625013073
2008-02-20,-0.0777468716094639,-0.35054702068250526,0.28115413106970166,0.3253850396699845
2008-02-21,-0.07321926673163644,-0.28922091301949343,0.22363602966013715,-0.12966216560235874
2008-02-22,0.05039066460336729,-0.18709685511244326,0.11105038206171718,0.13830096464350758
2008-02-25,0.14352165826223529,-0.1673418624514411,0.18372733723054455,0.2769220364139628
2008-02-26,0.17993648925559383,-0.10345865040505717,0.1405630190393046,-0.12603406792274868
2008-02-27,0.13615039704073323,0.31929750247218736,0.11004240548407315,-0.30231583539882695
2008-02-28,0.1559541716610099,0.3479830278016646,0.1177259129507531,-0.29828363045423056
2008-02-29,-0.14578326367529457,0.19398672794679994,0.24816316153663587,-0.48789559289375795
2008-03-03,-0.20210244741949196,-0.09673615592775914,0.23738268180790023,-0.6052189550946014
2008-03-04,-0.2397517808397191,-0.23066027222556962,0.1755984847446628,-0.5425166989402059
2008-03-05,-0.21789812041647316,-0.20149415908787938,0.10226668940299591,-0.47876315324631585
2008-03-06,-0.2636592796069624,-0.4127277542632314,0.22916368894862385,-0.4955765072117403
2008-03-07,-0.19612317777498006,-0.3970090781537319,0.19410333024427598,-0.3674284735529547
